customer_id,customer_name,city,email,phone_number
1,Shlok Rajagopal,Mumbai,tgopal@gmail.com,9.10056E+11
2,Priyansh Bhattacharyya,Delhi,zsehgal@gmail.com,9101044637
3,Himmat Ramesh,Mumbai,pranaydhar@badal.com,9.17424E+11
4,Samiha Subramaniam,Ahmedabad,nirvi90@hotmail.com,9093460188
5,Miraan Bhatt,Kolkata,neysa32@varghese.com,1569905742
6,Miraan Ramesh,Bengaluru,kabir00@yahoo.com,3169632515
7,Yuvraj  Sarna,Chennai,adah89@bera.info,9.11076E+11
8,Divyansh Shetty,Surat,sbaria@tata.biz,9.11773E+11
9,Vanya Bath,Pune,ogarg@balakrishnan.info,1255464781
10,Hridaan Kapur,Bengaluru,akarshbanerjee@suresh.biz,9471976879
11,Ayesha Dash,Kolkata,ikar@mani-goyal.info,9.11165E+11
12,Hunar Anand,Chennai,jayanyadav@yahoo.com,3430553091
13,Neysa Khalsa,Surat,mohanlaldasgupta@yahoo.com,6362937377
14,Tara Maharaj,Ahmedabad,dhawanriya@ray.biz,856769070
15,Drishya Taneja,Surat,asood@gmail.com,3379531625
16,Hazel Sibal,Chennai,dharmajanbajwa@yahoo.com,9.14545E+11
17,Dharmajan Chawla,Jaipur,ayesha56@yahoo.com,9.10153E+11
18,Shayak Ghosh,Surat,keyadeo@gmail.com,2634879663
19,Purab Ghose,Kolkata,yuvraj-rajagopal@yadav-subramanian.com,9.17752E+11
20,Gokul Singhal,Hyderabad,keyabajaj@dhar.biz,314720123
21,Indranil Sharma,Jaipur,priyansh93@gmail.com,9.12288E+11
22,Aaina Dave,Mumbai,pihu44@yahoo.com,4412544930
23,Taran Jhaveri,Surat,saanviravel@chaudhuri.info,1202851564
24,Priyansh Taneja,Chennai,madhup16@hotmail.com,5259205903
25,Nehmat Choudhry,Pune,rohan17@shere.org,3838569181
26,Taimur Venkataraman,Kolkata,gchadha@hotmail.com,2348263357
27,Shray Seshadri,Jaipur,eshani00@dutt.com,9.18149E+11
28,Vardaniya Divan,Surat,ygandhi@hotmail.com,3687152205
29,Anvi Sharaf,Mumbai,tkonda@bir-subramanian.com,4551055195
30,Prerak Kala,Mumbai,fatehsampath@yadav.com,2395655739
31,Hunar Lall,Mumbai,ramachandranvaibhav@yahoo.com,9.17059E+11
32,Vidur Sankar,Delhi,ryan49@yahoo.com,8864343487
33,Aniruddh Atwal,Bengaluru,laganvora@gmail.com,1800318875
34,Gokul Bir,Mumbai,ugour@gmail.com,2516435446
35,Dhanuk Amble,Delhi,uvarkey@hotmail.com,8674151172
36,Lakshit Keer,Ahmedabad,anyabhasin@sarma-dalal.biz,5367742922
37,Keya Gokhale,Jaipur,yogianahi@sabharwal.info,7130351335
38,Bhamini Bera,Ahmedabad,bobalindrajit@hotmail.com,2652191662
39,Kaira Ganesan,Kolkata,prerakuppal@dyal.org,911671119
40,Khushi Ghose,Surat,goswamivaibhav@brahmbhatt.com,9.18748E+11
41,Anya Luthra,Kolkata,lakshay43@hotmail.com,4555138193
42,Zara Jaggi,Surat,gadenitara@sha.com,9.13717E+11
43,Indrans Maharaj,Ahmedabad,banikfaiyaz@hotmail.com,7346726227
44,Mehul Gole,Mumbai,ihayre@hotmail.com,3106160650
45,Vivaan Sood,Pune,shalvhari@hotmail.com,9.11839E+11
46,Ryan Khatri,Mumbai,ysani@yahoo.com,9.10709E+11
47,Dhanuk Tandon,Kolkata,veer04@hotmail.com,2542540400
48,Madhup Khalsa,Pune,bbassi@gmail.com,2060169111
49,Ojas Comar,Kolkata,fde@yahoo.com,5927613615
50,Baiju Bhagat,Ahmedabad,umander@hotmail.com,9397422628
51,Divyansh Kakar,Delhi,ritviksen@verma.biz,716092568
52,Farhan Buch,Kolkata,wbedi@yahoo.com,9.11006E+11
53,Raunak Thaman,Delhi,rmand@kata.com,9219980507
54,Aarav Walla,Kolkata,dinrati@hotmail.com,1419060742
55,Anahi Kale,Pune,sinhanitara@dalal.com,7996676261
56,Piya Bakshi,Mumbai,shlok93@chaudhary.com,2392062502
57,Shalv Tata,Surat,gatikborde@bhattacharyya.com,2853578769
58,Ryan Sundaram,Delhi,suramanjari@gandhi.com,6051697543
59,Sana Venkatesh,Pune,divyansharya@saraf.biz,5036900792
60,Rasha Devan,Hyderabad,vedikabava@yahoo.com,9.10767E+11
61,Darshit Hayre,Jaipur,benamira@gmail.com,924487596
62,Onkar Ahuja,Ahmedabad,dhanuk94@hotmail.com,9.14661E+11
63,Himmat Chahal,Mumbai,kimaya12@gmail.com,2297587980
64,Nakul Bhatia,Chennai,armaangarde@dubey.org,6928470056
65,Anahita Seshadri,Mumbai,kartikroy@viswanathan-krishna.com,9827497552
66,Mishti Tella,Ahmedabad,kartikkrishna@walla.biz,9.10188E+11
67,Manikya Mann,Chennai,kguha@wable.com,1518861216
68,Jayesh Sanghvi,Surat,navya40@hayre.com,7461345119
69,Purab Ahuja,Chennai,nitarabrar@yahoo.com,5513109397
